qi	z3,z4,z6,z7	rank	graph_sigma	n_classes	min_n_good	argmin_z2,z5,z8	n_fallback	n_unsaturated
6385	1,13,20,8	2	0	19683	253	25,13,15	0	0
6386	1,14,20,8	2	0	19683	266	12,20,6	0	0
6387	1,15,20,8	2	0	19683	255	10,8,11	0	0
6388	1,16,20,8	2	0	19683	255	18,19,18	0	0
6389	1,17,20,8	2	0	19683	247	6,1,7	0	0
6390	1,18,20,8	2	0	19683	253	6,18,23	0	0
6391	1,19,20,8	2	0	19683	252	13,21,12	0	0
6392	1,20,20,8	2	0	19683	259	16,10,20	0	0
6393	1,21,20,8	2	0	19683	258	24,21,12	0	0
6394	1,22,20,8	2	0	19683	253	19,19,20	0	0
6395	1,23,20,8	2	0	19683	252	6,13,20	0	0
6396	1,24,20,8	2	0	19683	255	23,26,25	0	0
6397	1,25,20,8	2	0	19683	253	12,26,25	0	0
6398	1,26,20,8	2	0	19683	255	13,15,10	0	0
6399	1,0,21,8	2	0	19683	255	18,20,24	0	0
6400	1,1,21,8	2	0	19683	253	2,12,0	0	0
6401	1,2,21,8	2	0	19683	247	1,11,21	0	0
6402	1,3,21,8	2	0	19683	256	19,21,6	0	0
6403	1,4,21,8	2	0	19683	253	13,19,19	0	0
6404	1,5,21,8	2	0	19683	258	14,6,11	0	0
6405	1,6,21,8	2	0	19683	258	15,19,9	0	0
6406	1,7,21,8	2	0	19683	252	22,3,4	0	0
6407	1,8,21,8	2	0	19683	252	15,5,15	0	0
6408	1,9,21,8	2	0	19683	259	5,14,2	0	0
6409	1,10,21,8	2	0	19683	253	13,18,19	0	0
6410	1,11,21,8	2	0	19683	269	9,25,1	0	0
6411	1,12,21,8	2	0	19683	253	26,3,0	0	0
6412	1,13,21,8	2	0	19683	253	19,19,1	0	0
6413	1,14,21,8	2	0	19683	252	10,20,18	0	0
6414	1,15,21,8	2	0	19683	254	3,25,5	0	0
6415	1,16,21,8	1	0	19683	256	2,11,10	0	0
6416	1,17,21,8	2	0	19683	259	10,20,13	0	0
6417	1,18,21,8	2	0	19683	255	6,10,6	0	0
6418	1,19,21,8	2	0	19683	259	9,16,17	0	0
6419	1,20,21,8	2	0	19683	253	2,3,22	0	0
6420	1,21,21,8	2	0	19683	253	8,6,9	0	0
6421	1,22,21,8	2	0	19683	259	14,10,26	0	0
6422	1,23,21,8	2	0	19683	247	6,6,13	0	0
6423	1,24,21,8	2	0	19683	253	19,9,16	0	0
6424	1,25,21,8	2	0	19683	253	12,5,3	0	0
6425	1,26,21,8	2	0	19683	256	14,5,11	0	0
6426	1,0,22,8	2	0	19683	256	18,24,13	0	0
6427	1,1,22,8	2	0	19683	255	13,1,3	0	0
6428	1,2,22,8	2	0	19683	252	9,0,18	0	0
6429	1,3,22,8	2	0	19683	252	20,5,12	0	0
6430	1,4,22,8	2	0	19683	253	5,9,6	0	0
6431	1,5,22,8	2	0	19683	253	2,18,1	0	0
