cand_idx	dir_d	line_q	x1	x2	x3	lambda_label	y1	y2	collision_type	n_colliding_roots
482	9	23	13	22	4	l1	9	14	offline_retained	1
483	9	23	4	13	22	l2	9	10	offline_retained	1
490	9	23	4	22	13	l3	9	24	offline_retained	1
495	9	7	5	14	23	l2	13	26	offline_retained	1
499	9	7	5	23	14	1	2	10	offline_retained	1
500	9	7	14	23	5	1	15	20	offline_retained	1
501	9	7	5	14	23	l3	16	26	offline_retained	1
502	9	7	5	23	14	l3	11	14	third_point_x3	1
506	9	18	15	24	6	l1	17	22	offline_retained	1
507	9	18	6	15	24	l2	16	24	third_point_x3	1
509	9	18	15	24	6	l2	3	17	offline_retained	1
510	9	18	6	15	24	1	7	14	offline_retained	1
511	9	18	6	24	15	1	1	25	offline_retained	1
520	9	5	7	25	16	l2	13	26	offline_retained	1
522	9	5	7	16	25	1	1	20	offline_retained	1
524	9	5	16	25	7	1	10	21	offline_retained	1
525	9	5	7	16	25	l3	19	25	third_point_x3	1
526	9	5	7	25	16	l3	13	23	offline_retained	1
530	9	16	17	26	8	l1	18	25	offline_retained	1
532	9	16	8	26	17	l2	18	20	offline_retained	1
537	9	16	8	17	26	l3	12	18	offline_retained	1
553	10	3	1	18	11	l3	19	22	offline_retained	1
554	10	3	11	18	1	l3	1	26	third_point_x3	1
559	10	3	1	18	11	l2	17	22	offline_retained	1
561	10	3	1	11	18	1	6	8	offline_retained	1
563	10	3	11	18	1	1	3	16	offline_retained	1
564	10	6	2	9	19	l3	11	17	offline_retained	1
566	10	6	9	19	2	l3	2	13	third_point_x3	1
570	10	6	2	9	19	l2	17	22	offline_retained	1
574	10	6	2	19	9	1	3	4	offline_retained	1
575	10	6	9	19	2	1	6	23	offline_retained	1
577	10	11	3	23	13	l3	5	7	offline_retained	1
580	10	11	3	23	13	l1	5	26	offline_retained	1
581	10	11	13	23	3	l1	3	14	third_point_x3	1
585	10	11	3	13	23	1	18	21	offline_retained	1
587	10	11	13	23	3	1	4	15	offline_retained	1
