stratum	metric	value	count
rank1-graph	n_split_distinct	609	7644
rank1-graph	n_split_distinct	610	6968
rank1-graph	n_split_distinct	611	6474
rank1-graph	n_split_distinct	612	8034
rank1-graph	n_split_distinct	613	7202
rank1-graph	n_split_distinct	614	7566
rank1-graph	n_split_distinct	615	7176
rank1-graph	n_split_distinct	616	7800
rank1-graph	n_split_distinct	617	9750
rank1-graph	n_split_distinct	618	8528
rank1-graph	n_split_distinct	619	8424
rank1-graph	n_split_distinct	620	7722
rank1-graph	n_split_distinct	621	9594
rank1-graph	n_split_distinct	622	8138
rank1-graph	n_split_distinct	623	8736
rank1-graph	n_split_distinct	624	9048
rank1-graph	n_split_distinct	625	8918
rank1-graph	n_split_distinct	626	10218
rank1-graph	n_split_distinct	627	10998
rank1-graph	n_split_distinct	628	7826
rank1-graph	n_split_distinct	629	8424
rank1-graph	n_split_distinct	630	10296
rank1-graph	n_split_distinct	631	11232
rank1-graph	n_split_distinct	632	8502
rank1-graph	n_split_distinct	633	8762
rank1-graph	n_split_distinct	634	7748
rank1-graph	n_split_distinct	635	8892
rank1-graph	n_split_distinct	636	8996
rank1-graph	n_split_distinct	637	9048
rank1-graph	n_split_distinct	638	8580
rank1-graph	n_split_distinct	639	8814
rank1-graph	n_split_distinct	640	8268
rank1-graph	n_split_distinct	641	6474
rank1-graph	n_split_distinct	642	7891
rank1-graph	n_split_distinct	643	8528
rank1-graph	n_split_distinct	644	6474
rank1-graph	n_split_distinct	645	5486
rank1-graph	n_split_distinct	646	7436
rank1-graph	n_split_distinct	647	5148
rank1-graph	n_split_distinct	648	6344
rank1-graph	n_split_distinct	649	4914
rank1-graph	n_split_distinct	650	5694
rank1-graph	n_split_distinct	651	5928
rank1-graph	n_split_distinct	652	4784
rank1-graph	n_split_distinct	653	4836
rank1-graph	n_split_distinct	654	4524
rank1-graph	n_split_distinct	655	4524
rank1-graph	n_split_distinct	656	3978
rank1-graph	n_split_distinct	657	4706
rank1-graph	n_split_distinct	658	3354
rank1-graph	n_split_distinct	659	3354
rank1-graph	n_split_distinct	660	3926
rank1-graph	n_split_distinct	661	2652
rank1-graph	n_split_distinct	662	3198
rank1-graph	n_split_distinct	663	2808
rank1-graph	n_split_distinct	664	2652
rank1-graph	n_split_distinct	665	2418
rank1-graph	n_split_distinct	666	2431
rank1-graph	n_split_distinct	667	2210
rank1-graph	n_split_distinct	668	1560
rank1-graph	n_split_distinct	669	1820
rank1-graph	n_split_distinct	670	2522
rank1-graph	n_split_distinct	671	1716
rank1-graph	n_split_distinct	672	1976
rank1-graph	n_split_distinct	673	1430
rank1-graph	n_split_distinct	674	1248
rank1-graph	n_split_distinct	675	884
rank1-graph	n_split_distinct	676	1092
rank1-graph	n_split_distinct	677	858
rank1-graph	n_split_distinct	678	1092
rank1-graph	n_split_distinct	679	312
rank1-graph	n_split_distinct	680	1014
rank1-graph	n_split_distinct	681	468
rank1-graph	n_split_distinct	682	936
rank1-graph	n_split_distinct	683	624
rank1-graph	n_split_distinct	684	468
rank1-graph	n_split_distinct	685	546
rank1-graph	n_split_distinct	686	702
rank1-graph	n_split_distinct	687	104
rank1-graph	n_split_distinct	688	234
rank1-graph	n_split_distinct	689	234
rank1-graph	n_split_distinct	690	234
rank1-graph	n_split_distinct	691	156
rank1-graph	n_split_distinct	692	390
rank1-graph	n_split_distinct	693	156
