z2,z3,z4,z5,z6,z7,z8	cand_idx	nine_set
16,1,21,20,1,18,20	4	1,5,9,10,11,18,19,20,22
16,1,25,7,15,26,24	2	0,3,4,5,6,7,8,10,24
17,1,3,5,9,24,4	4	1,9,10,11,15,18,19,20,24
17,1,4,0,23,19,7	2	0,3,4,5,6,7,8,10,26
17,1,11,8,5,11,25	3	2,9,10,11,13,18,19,20,21
17,1,12,0,12,23,20	0	2,3,4,5,6,7,8,9,23
17,1,18,11,24,24,24	3	2,9,10,11,16,18,19,20,24
17,1,19,26,5,8,24	13	0,1,2,4,6,7,8,10,25
18,1,3,0,16,22,1	0	2,3,4,5,6,7,8,14,22
18,1,12,10,8,14,19	6	2,10,12,13,14,21,24,25,26
18,1,15,11,15,14,8	1	1,3,4,5,6,7,8,19,24
18,1,15,22,16,12,2	1	1,3,4,5,6,7,8,9,23
18,1,16,2,19,15,4	1	1,3,4,5,6,7,8,11,14
18,1,23,0,21,21,11	0	0,2,3,4,5,6,7,8,14
19,1,0,23,25,0,21	23	3,6,9,10,11,12,24,25,26
19,1,3,3,18,13,21	0	2,3,4,5,6,7,8,17,18
19,1,4,3,11,10,3	4	1,9,10,11,12,18,19,20,21
19,1,6,6,11,5,20	1	1,3,4,5,6,7,8,17,19
19,1,10,1,7,7,26	1	1,3,4,5,6,7,8,14,19
19,1,15,12,21,7,15	1	1,3,4,5,6,7,8,19,22
19,1,20,14,2,1,3	0	1,2,3,4,5,6,7,8,9
19,1,22,9,10,1,3	5	0,9,10,11,18,19,20,22,23
19,1,22,21,21,4,6	3	2,9,10,11,13,18,19,20,24
20,1,0,8,25,1,15	16	4,10,12,13,14,19,21,22,23
20,1,3,18,13,12,10	2	0,3,4,5,6,7,8,9,20
20,1,5,12,13,2,4	6	2,3,12,13,14,18,24,25,26
20,1,6,16,9,6,20	0	1,2,3,4,5,6,7,8,26
20,1,8,18,8,16,14	1	1,3,4,5,6,7,8,20,23
20,1,14,18,6,0,21	2	0,3,4,5,6,7,8,9,20
20,1,16,21,16,25,14	3	2,9,10,11,18,19,20,22,25
20,1,22,1,19,4,8	0	0,2,3,4,5,6,7,8,12
20,1,24,7,4,0,20	1	1,3,4,5,6,7,8,15,16
20,1,24,13,16,5,7	0	0,2,3,4,5,6,7,8,17
21,1,3,10,1,25,17	11	0,5,12,15,16,17,21,22,23
21,1,3,25,16,12,26	0	2,3,4,5,6,7,8,17,18
21,1,9,7,16,4,9	6	2,3,6,12,13,14,24,25,26
21,1,26,1,9,20,12	2	0,3,4,5,6,7,8,23,24
