stratum	z2,z3,z4,z5,z6,z7,z8	n_nonsingular	n_zero_disc	n_split_distinct	n_good	n_good_lambda1	n_good_conjugate	n_onepoint	exh_split9	exh_deg8
rank1-offgraph	0,0,1,9,0,22,3	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,9,0,23,0	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,9,0,24,24	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,9,0,25,18	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,9,0,26,23	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,10,0,0,16	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,10,0,1,0	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,10,0,2,22	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,10,0,3,11	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,10,0,4,0	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,10,0,5,18	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,10,0,6,6	1012	39	444	231	51	180	0	6088	2532
rank1-offgraph	0,0,1,10,0,7,21	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,10,0,8,11	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,10,0,9,6	1012	39	444	231	51	180	0	6088	2652
rank1-offgraph	0,0,1,10,0,10,12	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,10,0,11,20	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,10,0,12,0	1012	39	444	231	51	180	0	6088	2441
rank1-offgraph	0,0,1,10,0,13,14	1012	39	444	231	51	180	0	6088	2711
rank1-offgraph	0,0,1,10,0,14,24	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,10,0,15,24	1012	39	444	231	51	180	0	6088	2549
rank1-offgraph	0,0,1,10,0,16,7	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,10,0,18,1	1012	39	444	231	51	180	0	6088	2402
rank1-offgraph	0,0,1,10,0,19,2	1012	39	444	231	51	180	0	6088	2534
rank1-offgraph	0,0,1,10,0,20,2	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,10,0,21,3	1012	39	444	231	51	180	0	6088	2518
rank1-offgraph	0,0,1,10,0,22,0	1012	39	444	231	51	180	0	6088	2674
rank1-offgraph	0,0,1,10,0,23,8	1012	39	444	231	51	180	0	6088	2599
rank1-offgraph	0,0,1,10,0,24,20	1012	39	444	231	51	180	0	6088	2441
