# C1053 repair-DAG BFS map merge: interleaved A/B raw samples and summary
# variant	application:rdag:rust:21:3
# host_cpu_pinned	3
# rustc	rustc 1.93.1 (01f6ddf75 2026-02-11)
# control_binary	bench_kernels-3c4dd0293	sha256=ce3e0b06018d5de706f11fa3b0d942632a9e15980e09db92a507475060ff38e1
# candidate_binary	bench_kernels-c1053-cap64	sha256=f6d1bcac3994dabad84a829ebe9592d4b9f45fc5187997832cc2ccefb0483f10
# rejected_cap4096_binary	bench_kernels-c1053-candidate	sha256=530c3921b381ff00129915f0ad531a8a3eb98425ad8341d5c5d245325dbab43b
# profiles	cold=1 repetition, warm_batch=8 repetitions (BENCHMARKS.md protocol), kernel=1024 repetitions (startup-amortized, added here)
# sampler	scripts recorded verbatim below the tables

[accepted candidate: REPAIR_DAG_RESERVATION_CAP = 64] raw samples
round	profile	reps	arm	elapsed_ns	work	checksum	peak_rss_kib	instructions	cycles	branches	branch_misses
112	cold	1	old	18765	4	3	2148	458143	627894	89144	5324
112	warm_batch	8	new	55303	32	24	2016	844817	756352	174497	6025
112	warm_batch	8	old	54922	32	24	2076	861084	770882	176889	6069
112	kernel	1024	new	7585988	4096	3072	2048	57605136	19166620	12762863	16715
112	kernel	1024	old	7494548	4096	3072	2100	59890054	18799415	13056527	20347
113	cold	1	old	18975	4	3	2016	457854	610847	89047	5253
113	cold	1	new	17623	4	3	2116	456768	607686	88859	5245
113	warm_batch	8	old	54341	32	24	2132	860401	742086	176662	6012
113	warm_batch	8	new	57838	32	24	2016	844812	755950	174496	6059
113	kernel	1024	old	10489418	4096	3072	2016	59890040	18877509	13056520	21977
113	kernel	1024	new	7535373	4096	3072	2052	57604744	19104893	12762731	16028
114	cold	1	new	19316	4	3	2016	456827	712785	88878	5224
114	cold	1	old	18895	4	3	2124	458413	621558	89234	5297
114	warm_batch	8	new	57728	32	24	2124	845113	762164	174597	6041
114	warm_batch	8	old	54511	32	24	2092	860863	746424	176816	6065
114	kernel	1024	new	7783485	4096	3072	2020	57605313	19253074	12762920	16818
114	kernel	1024	old	7701473	4096	3072	2132	59890373	18788656	13056634	20712
115	cold	1	old	18855	4	3	2076	457809	614860	89034	5325
115	cold	1	new	18284	4	3	2128	457009	613978	88940	5279
115	warm_batch	8	old	55543	32	24	2092	861252	754637	176945	6040
115	warm_batch	8	new	60292	32	24	2056	845065	753103	174581	6065
115	kernel	1024	old	10710278	4096	3072	2052	59889926	18886821	13056482	21379
115	kernel	1024	new	7794696	4096	3072	2120	57605402	19165511	12762949	16744
116	cold	1	new	21129	4	3	2088	457333	600389	89048	5376
116	cold	1	old	18715	4	3	2136	457315	600341	88868	5247
116	warm_batch	8	new	58429	32	24	2116	845388	765512	174688	6041
116	warm_batch	8	old	56124	32	24	2100	860671	774516	176752	6049
116	kernel	1024	new	7775610	4096	3072	2008	57605259	19149245	12762902	16399
116	kernel	1024	old	7705299	4096	3072	2128	59889881	18798572	13056470	20432
117	cold	1	old	17473	4	3	2092	458061	634001	89118	5345
117	cold	1	new	17763	4	3	2108	457367	622520	89035	5265
