      SIZE       AGE  NAME                                          REFERENCED-BY
      233K       4d  c985-full-d64.frozen                          UNREFERENCED
      749K       4d  c985-full-v1.audit                            UNREFERENCED
       17K       4d  c985-full-v2.frozen                           UNREFERENCED
       24K       3d  c985-hall-cli.cqXcI0                          UNREFERENCED
      102M       3d  c985-hash-old                                 UNREFERENCED
       37M       3d  c985-hash-search                              UNREFERENCED
      102M       3d  c985-inline-old                               UNREFERENCED
      102M       3d  c985-keycomp-old                              UNREFERENCED
      217M       3d  c985-large-target                             UNREFERENCED
      749K       4d  c985-layered-audit-v1.bin                     UNREFERENCED
      9.0K       4d  c985-layered-perf.data                        UNREFERENCED
      5.0K       4d  c985-layered-perf-width.data                  UNREFERENCED
      5.0K       4d  c985-layered-perf-width.out                   UNREFERENCED
      5.0K       3d  c985-legendre333-id3-compressed-cpsat.json    UNREFERENCED
      5.0K       3d  c985-legendre333-id3-signature-0001-dual.json  UNREFERENCED
       13K       3d  c985-legendre333-id3-signature-pairs.txt      UNREFERENCED
      167M       3d  c985-nix-target                               UNREFERENCED
      429K       3d  c985-objective-ab                             UNREFERENCED
      5.0K       4d  c985-packed-sha.log                           UNREFERENCED
      102M       3d  c985-parity-old                               UNREFERENCED
      102M       3d  c985-projected-old                            UNREFERENCED
      1.0K       4d  c985-python-tests.log                         UNREFERENCED
      136M       3d  c985-sce-clippy                               UNREFERENCED
      179M       3d  c985-sce-target                               UNREFERENCED
      5.0K       4d  c985-sha-check.log                            UNREFERENCED
      113M       3d  c985-small-target                             UNREFERENCED
      102M       3d  c985-sparse-old                               UNREFERENCED
      5.0K       4d  c985-wide-search-sha.log                      UNREFERENCED
      5.0K       4d  c985-wide-sha.log                             UNREFERENCED
      5.0K       4d  c985-wide-structure-sha.log                   UNREFERENCED
      5.0K       4d  c985-width-stat.out                           UNREFERENCED
      5.0K       4d  c997-gurobi-check.json                        UNREFERENCED
      237K       4d  c997-gurobi-official                          UNREFERENCED
      137K       4d  c997-gurobi-spike                             UNREFERENCED
      579M       4d  c997-nix-target                               UNREFERENCED
      5.0K       4d  c997-parity-check.json                        UNREFERENCED
      109K       4d  c997-parity-polytope                          UNREFERENCED
      270M       2d  certdist                                      r1elite01-combined.json,r1elite01-x-certificate.json,r1elite01-z-certificate.json
      811M       3d  certify-20260829                              UNREFERENCED
      2.2M       2d  certiis                                       UNREFERENCED
       34M       3d  codeDistancePYPI                              UNREFERENCED
       39K       3d  commutant-field-perf-v1                       UNREFERENCED
       21M       3d  completion-filter-perf-v1                     UNREFERENCED
       37K       3d  coupled-fork-join-cost-regular.audit          UNREFERENCED
       88M       3d  css-native                                    UNREFERENCED
       49M       4d  css-native-parent-target                      UNREFERENCED
