[Z3xZ3xZ3xZ5] |G|=135 |Aut|=44928  order=true j=22 par-ply=10 cap=700000000
  [  15s] nodes=18910 memo=15942 rss=64MB
  [2925s] nodes=3769300 memo=3569131 rss=213MB
  [2940s] nodes=3787685 memo=3586973 rss=213MB
  [2955s] nodes=3806985 memo=3605382 rss=213MB
  [2970s] nodes=3825054 memo=3622336 rss=213MB
  [2985s] nodes=3841901 memo=3637536 rss=213MB
  [3000s] nodes=3859032 memo=3653032 rss=213MB
  [3015s] nodes=3875320 memo=3667184 rss=213MB
  [3030s] nodes=3892595 memo=3682808 rss=213MB
  [3045s] nodes=3909956 memo=3697998 rss=213MB
  [3060s] nodes=3927654 memo=3713374 rss=213MB
  [3075s] nodes=3944560 memo=3728462 rss=213MB
  [3090s] nodes=3960171 memo=3743088 rss=213MB
  [3105s] nodes=3976769 memo=3757440 rss=213MB
  [3120s] nodes=3993266 memo=3772409 rss=213MB
  [3135s] nodes=4010464 memo=3788202 rss=213MB
  [3150s] nodes=4027496 memo=3804335 rss=213MB
  [3165s] nodes=4043548 memo=3819362 rss=213MB
  [3180s] nodes=4058966 memo=3833756 rss=213MB
  [3195s] nodes=4076072 memo=3849270 rss=213MB
  [3210s] nodes=4093185 memo=3865764 rss=213MB
  [3225s] nodes=4109363 memo=3880391 rss=213MB
  [3240s] nodes=4126253 memo=3895760 rss=213MB
  [3255s] nodes=4143291 memo=3911563 rss=213MB
  [3270s] nodes=4161516 memo=3928831 rss=213MB
  [3285s] nodes=4178888 memo=3945382 rss=213MB
  [3300s] nodes=4195490 memo=3960379 rss=213MB
  [3315s] nodes=4212354 memo=3976323 rss=213MB
  [3330s] nodes=4229250 memo=3993190 rss=213MB
  [3345s] nodes=4245469 memo=4008455 rss=213MB
  [3360s] nodes=4262854 memo=4025282 rss=213MB
  [3375s] nodes=4280717 memo=4042691 rss=213MB
  [3390s] nodes=4297447 memo=4058359 rss=213MB
  [3405s] nodes=4313763 memo=4072694 rss=213MB
  [3420s] nodes=4328959 memo=4087470 rss=213MB
  [3435s] nodes=4345957 memo=4104228 rss=213MB
  [3450s] nodes=4363879 memo=4121275 rss=213MB
  [3465s] nodes=4380615 memo=4137804 rss=213MB
  [3480s] nodes=4398166 memo=4154663 rss=213MB
  [3495s] nodes=4415166 memo=4170675 rss=213MB
  [3510s] nodes=4432285 memo=4186667 rss=213MB
  [3525s] nodes=4448455 memo=4201710 rss=213MB
  [3540s] nodes=4464731 memo=4216252 rss=213MB
  [3555s] nodes=4479673 memo=4229920 rss=213MB
  [3570s] nodes=4495832 memo=4244401 rss=213MB
  [3585s] nodes=4511101 memo=4257669 rss=213MB
  [3600s] nodes=4525511 memo=4270130 rss=213MB
  [3615s] nodes=4542770 memo=4284882 rss=213MB
  [3630s] nodes=4559187 memo=4300385 rss=213MB
